,Symbol
0,AA
1,ACHC
2,ACM
3,ADC
4,ADNT
5,AFG
6,AGCO
7,AIRC
8,AIT
9,ALE
10,ALGM
11,ALLY
12,ALTM
13,ALV
14,AM
15,AMED
16,AMG
17,AMH
18,AMKR
19,AN
20,APPF
21,AR
22,ARMK
23,ARW
24,ARWR
25,ASB
26,ASGN
27,ASH
28,ATR
29,AVNT
30,AVT
31,AXTA
32,AYI
33,AZPN
34,AZTA
35,BC
36,BCO
37,BDC
38,BERY
39,BHF
40,BJ
41,BKH
42,BLD
43,BLKB
44,BRBR
45,BRKR
46,BRX
47,BURL
48,BWXT
49,BYD
50,CACI
51,CADE
52,CAR
53,CASY
54,CBSH
55,CBT
56,CC
57,CCK
58,CDP
59,CELH
60,CFR
61,CG
62,CGNX
63,CHDN
64,CHE
65,CHH
66,CHK
67,CHRD
68,CHX
69,CIEN
70,CIVI
71,CLF
72,CLH
73,CMC
74,CNM
75,CNO
76,CNX
77,CNXC
78,COHR
79,COKE
80,COLB
81,COLM
82,COTY
83,CPRI
84,CR
85,CRI
86,CROX
87,CRUS
88,CSL
89,CUBE
90,CUZ
91,CVLT
92,CW
93,CXT
94,CYTK
95,DAR
96,DBX
97,DCI
98,DINO
99,DKS
100,DLB
101,DOCS
102,DT
103,DTM
104,DUOL
105,EEFT
106,EGP
107,EHC
108,ELF
109,ELS
110,EME
111,ENOV
112,ENS
113,EPR
114,EQH
115,ERIE
116,ESAB
117,ESNT
118,ETRN
119,EVR
120,EWBC
121,EXEL
122,EXLS
123,EXP
124,EXPO
125,FAF
126,FBIN
127,FCFS
128,FCN
129,FFIN
130,FHI
131,FHN
132,FIVE
133,FIX
134,FLO
135,FLR
136,FLS
137,FNB
138,FND
139,FNF
140,FR
141,FYBR
142,G
143,GATX
144,GBCI
145,GDDY
146,GEF
147,GGG
148,GHC
149,GLPI
150,GME
151,GMED
152,GNTX
153,GO
154,GPK
155,GPS
156,GT
157,GTLS
158,GXO
159,H
160,HAE
161,HALO
162,HELE
163,HGV
164,HLI
165,HOG
166,HOMB
167,HQY
168,HR
169,HRB
170,HTZ
171,HWC
172,HXL
173,IART
174,IBKR
175,IBOC
176,IDA
177,INGR
178,IPGP
179,IRDM
180,IRT
181,ITT
182,JAZZ
183,JEF
184,JHG
185,JLL
186,JWN
187,KBH
188,KBR
189,KD
190,KEX
191,KMPR
192,KNF
193,KNSL
194,KNX
195,KRC
196,KRG
197,LAD
198,LAMR
199,LANC
200,LEA
201,LECO
202,LEG
203,LFUS
204,LII
205,LITE
206,LIVN
207,LNTH
208,LNW
209,LOPE
210,LPX
211,LSCC 
212,LSTR
213,M
214,MAN
215,MANH
216,MASI
217,MAT
218,MDU
219,MEDP
220,MIDD
221,MKSI
222,MMS
223,MORN
224,MP
225,MSA
226,MSM
227,MTDR
228,MTG
229,MTN
230,MTSI
231,MTZ
232,MUR
233,MUSA
234,NBIX
235,NEOG
236,NEU
237,NFG
238,NJR
239,NLY
240,NNN
241,NOV
242,NOVT
243,NSA
244,NSP
245,NVST
246,NVT
247,NWE
248,NXST
249,NYCB
250,NYT
251,OC
252,OGE
253,OGS
254,OHI
255,OLED
256,OLLI
257,OLN
258,ONB
259,ONTO
260,OPCH
261,ORA
262,ORI
263,OSK
264,OVV
265,OZK
266,PAG
267,PB
268,PBF
269,PCH
270,PCTY
271,PEN
272,PENN
273,PFGC
274,PGNY
275,PII
276,PK
277,PLNT
278,PNFP
279,PNM
280,POR
281,POST
282,POWI
283,PPC
284,PR
285,PRGO
286,PRI
287,PSTG
288,PVH
289,QDEL
290,QLYS
291,R
292,RBC
293,RCM
294,REXR
295,RGA
296,RGEN
297,RGLD
298,RH
299,RLI
300,RMBS
301,RNR
302,ROIV
303,RPM
304,RRC
305,RRX
306,RS
307,RYN
308,SAIA
309,SAIC
310,SAM
311,SBRA
312,SCI
313,SEIC
314,SF
315,SFM
316,SHC
317,SIGI
318,SKX
319,SLAB
320,SLGN
321,SLM
322,SMG
323,SNV
324,SNX
325,SON
326,SR
327,SRCL
328,SSB
329,SSD
330,ST
331,STAG
332,STWD
333,SWAV
334,SWN
335,SWX
336,SYNA
337,TCBI
338,TDC
339,TEX
340,TGNA
341,THC
342,THG
343,THO
344,TKO
345,TKR
346,TMHC
347,TNL
348,TOL
349,TPX
350,TREX
351,TTC
352,TTEK
353,TXRH
354,UA
355,UAA
356,UBSI
357,UFPI
358,UGI
359,UMBF
360,UNM
361,USFD
362,UTHR
363,VAC
364,VAL
365,VC
366,VLY
367,VMI
368,VNO
369,VNT
370,VOYA
371,VSH
372,VST
373,VVV
374,WBS
375,WCC
376,WEN
377,WERN
378,WEX
379,WFRD
380,WH
381,WHR
382,WING
383,WLK
384,WMS
385,WOLF
386,WPC
387,WSM
388,WSO
389,WTFC
390,WTRG
391,WTS
392,WU
393,WWD
394,X
395,XPO
396,XRAY
397,YETI
398,ZD
399,ZI
400,ZION
